run,run_type,filename,BCM2_Q,ps5,ps6,h_esing_Eff,p_esing_Eff,hDead,pDead
25083,data,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25083_-1.root,21.398,-1,1,0.9986,0.9892,1,1
25084,data,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25084_-1.root,43.99,-1,1,0.9985,0.9894,1,1
25085,data,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25085_-1.root,26.493,-1,1,0.9985,0.9898,1,1
25086,data,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25086_-1.root,35.588,1,-1,0.9984,0.989,1,1
25087,data,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25087_-1.root,15.04,-1,1,0.9987,0.989,1,1
25088,data,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25088_-1.root,16.256,-1,1,0.9984,0.9908,1,1
25091,data,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25091_-1.root,4.107,-1,1,0.9989,0.9886,1,1
25114,data,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25114_-1.root,47.548,-1,1,0.9985,0.9875,1,1
25115,data,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25115_-1.root,47.446,-1,1,0.9984,0.9863,1,1
25116,data,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25116_-1.root,46.228,-1,1,0.9985,0.9864,1,1
25117,data,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25117_-1.root,20.667,-1,1,0.9984,0.9906,1,1
25119,data,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25119_-1.root,22.828,-1,1,0.9985,0.9896,1,1
25092,dummy,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25092_-1.root,35.289,-1,1,0.9986,0.9904,1,1
25093,dummy,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25093_-1.root,37.318,-1,1,0.9985,0.99,1,1
25120,dummy,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25120_-1.root,36.454,-1,1,0.9984,0.9883,1,1
25121,dummy,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25121_-1.root,38.474,-1,1,0.9985,0.9882,1,1
,sim,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/SIMC/LH2/rsidis_LH2_e5p_th-0p8_z0p5_pi-.root,,,,,
