run,run_type,filename,BCM2_Q,ps5,ps6,h_esing_Eff,p_esing_Eff,hDead,pDead
24097,data,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24097_-1.root,1.687,-1,1,1,0.9343,1,1
24098,data,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24098_-1.root,22.567,-1,1,0.9985,0.9351,1,1
24099,data,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24099_-1.root,23.934,-1,1,0.9987,0.9338,1,1
24100,data,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24100_-1.root,20.61,-1,1,0.9989,0.9343,1,1
24101,data,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24101_-1.root,24.015,-1,1,0.999,0.9314,1,1
24103,data,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24103_-1.root,17.181,-1,1,0.999,0.9514,1,1
24104,data,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24104_-1.root,31.42,-1,1,0.9988,0.9347,1,1
24110,data,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24110_-1.root,21.521,-1,1,0.9984,0.9387,1,1
24111,data,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24111_-1.root,22.153,-1,1,0.9987,0.9384,1,1
24112,data,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24112_-1.root,24.541,-1,1,0.9984,0.9366,1,1
24113,data,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24113_-1.root,16.105,-1,1,0.999,0.9584,1,1
24158,data,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24158_-1.root,25.645,-1,1,0.9985,0.9351,1,1
24159,data,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24159_-1.root,24.432,-1,1,0.9988,0.9371,1,1
24160,data,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24160_-1.root,25.328,-1,1,0.9988,0.9336,1,1
24161,data,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24161_-1.root,23.567,-1,1,0.999,0.9354,1,1
24185,data,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24185_-1.root,23.352,-1,1,0.9988,0.9373,1,1
24591,data,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24591_-1.root,35.882,-1,1,0.9973,0.9877,1,1
24592,data,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24592_-1.root,32.711,-1,1,0.9961,0.9872,1,1
24116,dummy,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24116_-1.root,57.676,-1,1,0.9986,0.9405,1,1
24117,dummy,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24117_-1.root,58.291,-1,1,0.9985,0.942,1,1
24171,dummy,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24171_-1.root,49.687,-1,1,0.9987,0.9396,1,1
24172,dummy,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24172_-1.root,60.867,-1,1,0.9989,0.944,1,1
24595,dummy,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_24595_-1.root,69.386,-1,1,0.9977,0.9874,1,1
,sim,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/SIMC/LD2/rsidis_LD2_th2p0_z0p5_pi-.root,,,,,
