run,run_type,filename,BCM2_Q,ps5,ps6,h_esing_Eff,p_esing_Eff,hDead,pDead
25205,data,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25205_-1.root,57.751,-1,1,0.9983,0.9896,1,1
25206,data,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25206_-1.root,56.718,-1,1,0.9985,0.9882,1,1
25207,data,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25207_-1.root,61.049,-1,1,0.9982,0.9882,1,1
25208,data,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25208_-1.root,47.363,1,-1,0.9984,0.9875,1,1
25210,data,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25210_-1.root,28.921,-1,1,0.9985,0.9896,1,1
25211,data,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25211_-1.root,28.779,-1,1,0.9985,0.9898,1,1
25217,data,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25217_-1.root,56.66,-1,1,0.9983,0.9877,1,1
25218,data,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25218_-1.root,62.91,-1,1,0.9985,0.9879,1,1
25219,data,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25219_-1.root,64.54,-1,1,0.9984,0.9877,1,1
25220,data,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25220_-1.root,31.011,-1,1,0.9984,0.9911,1,1
25221,data,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25221_-1.root,28.35,-1,1,0.9984,0.9909,1,1
25214,dummy,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25214_-1.root,65.338,-1,1,0.9985,0.9886,1,1
25222,dummy,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25222_-1.root,73.09,-1,1,0.9983,0.9881,1,1
